Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Mgat5;[ 0.04078798 16.10196832 40.3059424 ];[0.04282737 0.02616479 0.06360585];[2.50316866 1.1166452  6.29934237];0.1
Ccnt2;[0.1546409  1.20039506 3.69581925];[0.1546409  0.05314188 0.31129019];[ 3.07883577  1.33595172 10.20998732];0.42
Rab3gap1;[0.19585684 1.38172817 5.77876628];[0.19585684 0.11787823 0.31155141];[4.18227435 2.32981115 7.71082668];0.72
R3hdm1;[0.22030538 1.07278069 4.23768589];[0.3194428       nan       nan];[2.64662626 2.11413871 2.78565408];0.72
Ubxn4;[  1.06668056 170.23538738 736.98045803];[1.06668056 0.90959378 1.28444274];[4.19930929 3.48195387 5.21132948];4.59
Dars;[ 0.50068854  2.18376999 16.0530331 ];[0.50068854 0.38394652 0.67067716];[ 7.35106407  4.85280002 10.5187547 ];2.99
Cd55;[3.20732804e-01 8.10742311e+01 5.94747473e+02];[0.3207328  0.26838559 0.3917264 ];[7.33583859 5.70665544 9.58811604];2.34
Pfkfb2;[  0.3601925  166.10709523 174.64308616];[0.3601925  0.25543938 0.53382841];[1.05138848 0.67651185 1.67125899];0.38
Mapkapk2;[1.15118703e+00 4.44519075e+02 1.52284517e+03];[1.20874638 0.99368392 1.4585858 ];[3.2202768  2.6046844  3.95808223];3.93
Dyrk3;[ 0.09749955 10.01136759 18.6000024 ];[0.09749955 0.05064431 0.16801094];[1.85788827 0.95574276 5.14964866];0.18
Eif2d;[  0.99838716 186.29788957 339.63715033];[0.99838716 0.78505915 1.28734133];[1.82308641 1.38072184 2.39316353];1.81
Rassf5;[0.1490153  1.19328108 2.34679317];[0.00745077        nan        nan];[1.96667257        nan        nan];0.26
Srgap2;[  0.35210819  69.03783981 128.14657101];[0.35210819 0.2613528  0.49533604];[1.80049338 1.24455635 2.67031879];0.65
5430435G22Rik;[ 0.3730138  25.46376643 38.53982335];[0.39166449 0.27454334 0.56907438];[1.51351621 1.01637671 2.24880816];0.56
Cdk18;[  0.37035681  65.51891381 132.92919414];[0.37035681 0.27773006 0.49877694];[2.02886749 1.43701254 2.8905647 ];0.75
Klhdc8a;[ 0.67329543 21.69092995 94.5824412 ];[0.7069602  0.60581134 0.80030377];[4.3604604  3.26259868 5.46910057];2.85
Nuak2;[  0.57437346 137.87944913 434.55774306];[0.57437346 0.46845628 0.70845318];[3.15172236 2.46107948 4.07073039];1.8
Dstyk;[3.36792746e-01 4.05890132e+02 1.06016667e+03];[0.37047202 0.29412766 0.50401244];[2.14180292 1.54414039 3.09214657];0.88
Cntn2;[2.53934173e-03 4.14170057e-01 3.72866233e+00];[3.46944695e-18            nan            nan];[9.00273274        nan        nan];0.02
Mdm4;[  0.23617638  44.01085938 103.43147292];[0.2479852  0.17724119 0.34332804];[2.20912715 1.47635359 3.33829785];0.55
Ppp1r15b;[ 0.74601384 10.44011984 16.43177046];[0.74601384 0.44991807 1.12954729];[1.57390631 0.96778757 3.22735254];1.1
Sox13;[0.02959245 2.30887656 9.60663459];[0.03107207 0.01125495 0.06057355];[ 4.16073979  1.75430678 11.7640345 ];0.12
Snrpe;[  1.35050483  82.42731031 516.64150671];[1.21545435 0.98643178 0.26629039];[6.26784381 5.24717099 7.54605502];8.33
Zc3h11a;[1.00315838e+00 3.29555516e+02 1.03812843e+03];[1.00315838 0.83519261 1.21610819];[3.15008664 2.53729879 3.94734329];3.15
Atp2b4;[8.15233012e-02 7.29555515e+01 1.16582647e+02];[0.0815233  0.04469202 0.16761673];[1.59799556 0.73626624 3.65622109];0.13
Prelp;[ 0.04802564  2.66555297 26.13179342];[0.0528282  0.03673042 0.07484162];[ 7.74477829  5.23635239 15.66460644];0.46
Fmod;[  0.16826062  82.73607991 128.0848957 ];[0.16826062 0.10241063 0.24868208];[1.64100099 0.9875623  2.82967795];0.26
Tmem183a;[0.52043915 1.20081705 7.42627713];[0.52043915 0.36473659 0.74553362];[ 6.18435349  3.69300368 10.14105357];2.25
Cyb5r1;[  0.65625313  86.84267287 404.39276971];[0.65625313 0.54783751 0.79017766];[4.65661358 3.73640286 5.85695553];3.03
Adipor1;[ 1.97023975  7.15422074 28.65695425];[1.97023975 1.44863355 2.86137273];[4.00560107 2.22468256 6.62904947];6.19
Ube2t;[ 0.12370551  3.3617915  16.28907249];[0.11752024 0.0759774  0.17153317];[5.28143669 3.1931364  8.7254716 ];0.58
Rnpep;[  0.55275225  57.94930867 154.60878212];[0.55275225 0.44695039 0.71203371];[2.66800046 2.00368899 3.47518375];1.46
Timm17a;[  1.69514782  52.67324417 481.2371067 ];[1.69514782 1.41896242 2.02424149];[ 9.1362724   7.77603404 10.77584085];15.0
Lmod1;[ 0.24152652  0.97677664 24.65900878];[0.24152652 0.19763688 0.2935832 ];[25.24528934 19.41652132 32.88541859];4.89
Shisa4;[  1.65676159 510.29796826 939.79677302];[1.65676159 1.36705175 2.04140928];[1.84166278 1.4697716  2.29869397];3.04
Ipo9;[  1.29996797 330.73077997 995.42453675];[1.29996797 1.10341703 1.59108463];[2.91947971 2.38597455 3.62039902];3.9
Nav1;[0.36020858 1.4770172  5.03278684];[0.36020858 0.21863    0.57873552];[3.40739894 1.79597831 6.4816607 ];0.99
Csrp1;[  0.96930214   4.46155622 116.04176482];[0.96930214 0.82498552 1.14773287];[26.00925753 20.1028499  32.75558599];20.71
Phlda3;[1.25353213e+00 1.48956205e+02 1.89788137e+03];[1.25353213        nan        nan];[12.74120385 10.90785928 15.07745738];15.84
Tmem9;[ 1.01720106  5.84695743 21.81382374];[1.01720106 0.75859648 1.41547638];[3.73079914 2.26862365 5.79187869];3.23
Ddx59;[ 0.26021976 13.82509315 46.59121638];[0.26021976 0.18153223 0.34687966];[3.37004719 2.33246218 4.78792513];0.86
Zfp281;[ 0.33487234  3.07722249 11.38383856];[0.33487234 0.23351462 0.50202829];[3.69938755 2.18260465 5.92626663];1.12
Nek7;[  1.12653027 213.66072664 308.80188008];[1.12653027 0.88850677 1.46109621];[1.44529079 1.08880503 1.88016381];1.62
2310009B15Rik;[0.09316518 0.96992701 5.62747875];[0.09316518 0.0440339  0.16778303];[ 5.80196106  2.83135902 13.44726054];0.49
Aspm;[0.06775688 2.25191583 9.37110199];[0.06775688 0.03866962 0.11843539];[4.16139089 2.17721267 8.05739468];0.27
Cdc73;[0.36249066 2.34396305 6.74022546];[0.36249066 0.22005997 0.6011568 ];[2.87556813 1.47111097 5.4767494 ];0.9
Glrx2;[   1.49245263  455.78413173 1410.37205702];[1.49245263 1.24802351 1.79960621];[3.09438605 2.52140063 3.79796523];4.6
Uchl5;[0.44473172 2.15903617 8.50257144];[0.44473172 0.30593709 0.64525458];[3.93813292 2.34897675 6.53553059];1.45
Pla2g4a;[1.21825739e+00 3.60332045e+02 2.37189605e+03];[1.21825739        nan        nan];[6.58252875 5.52388044 7.89104885];7.99
Ptgs2;[  0.87980283  14.05899602 150.30218493];[0.87980283 0.73422021 1.0535538 ];[10.69081922  8.56451431 12.87291582];8.85
BC003331;[  0.4367438   49.6685506  106.08606983];[0.4367438  0.32697342 0.59848273];[2.13588012 1.48504337 3.03939484];0.92
Tpr;[ 1.0547661   5.75991809 64.10884003];[1.0547661  0.87955812 1.27977694];[11.13016523  8.38949271 14.38271718];9.92
Prg4;[9.90665740e-02 1.16957987e+01 9.64749112e+02];[0.09906657 0.08287796 0.11861227];[ 80.01220464  58.83999065 115.81617864];8.1
Hmcn1;[ 0.07399196  2.93160218 43.54759084];[0.07399196 0.05556684 0.10234296];[14.85453625 10.18218239 22.78947364];1.07
Ivns1abp;[ 0.86446594  5.05540214 14.79762083];[0.86446594 0.60652565 1.27636221];[2.92709075 1.72086918 4.94738498];2.16
Rnf2;[ 0.55254378 54.92019832 81.59640185];[0.55254378 0.40383722 0.7839337 ];[1.48572664 1.01723313 2.1541549 ];0.81
Fam129a;[ 0.5254367   3.18767589 14.01984558];[0.5254367  0.38836386 0.72047523];[4.39814023 2.84681111 6.71684765];1.98
Edem3;[ 0.42102432  5.20544361 15.55450386];[0.42102432 0.28617548 0.62322066];[2.98812263 1.81604842 4.9996641 ];1.16
1700025G04Rik;[ 0.32121957  4.57093367 12.52278239];[0.32121957 0.21581465 0.48123804];[2.73965524 1.70127376 4.57225913];0.82
Tsen15;[ 0.38294408  3.84907274 13.3582667 ];[0.38294408 0.26783071 0.54982318];[3.47051553 2.17045578 5.58568687];1.21
Rgl1;[  0.29535976  55.21400469 126.04043214];[0.29535976 0.22153148 0.40168551];[2.28276201 1.59212312 3.34398234];0.67
Arpc5;[1.57222092e+00 1.77817389e+02 1.94162677e+03];[1.57222092        nan        nan];[10.91921766  9.33665439 12.85628733];17.02
Lamc2;[  0.30950139 187.41364647 256.3912544 ];[0.34045153 0.2548283  0.50129797];[1.20388407 0.78014984 1.89855563];0.42
Lamc1;[ 1.2788254  38.74000941 92.30955188];[1.21488413 0.89783114 1.62294904];[2.38279632 1.77592519 4.16643499];2.95
Dhx9;[ 0.20928645  2.80773084 29.29109883];[0.20928645 0.15585909 0.28341488];[10.43230298  6.95581432 15.50355593];2.03
Npl;[ 0.07644502  9.20904373 21.97605834];[0.07644502 0.03580214 0.13072515];[2.38635617 1.26745441 4.63399308];0.18
Rgs16;[2.25534262e-01 1.81902746e+02 7.11896200e+02];[0.21425755 0.18235193 0.25643633];[4.61805847 3.31723242 6.48835935];0.88
Glul;[  0.82289607 230.54362589 367.71311126];[0.86404087 0.6579721  1.11246179];[1.54713329 1.13416843 2.04670828];1.31
Ier5;[ 0.06401564  0.25744798 18.761835  ];[0.06401564 0.03955987 0.09799251];[ 72.87621652  43.37103751 127.80718757];3.74
Mr1;[  0.26986167  62.01477395 104.43756123];[0.26986167 0.19030576 0.38878688];[1.6840755  1.10650637 2.60362149];0.45
Stx6;[  0.62448988 176.05763304 431.28626057];[0.56204089 0.43499348 0.68946802];[2.81714113 2.140696   3.69492764];1.52
Acbd6;[ 0.63657142  6.25911406 16.2291594 ];[0.63657142 0.44423001 0.92398382];[2.59288443 1.57183205 4.28219181];1.5
Qsox1;[ 1.02528912  5.99716594 79.49588974];[1.07655357 0.88232875 1.29041334];[12.46024157  9.22347503 16.41724535];11.61
Cep350;[  0.31762111 130.22571799 265.93468337];[0.31762111 0.22251605 0.43542409];[2.04210572 1.41085744 3.00040321];0.65
Tor1aip1;[ 0.64266835 21.99217933 38.95959093];[0.67480176 0.51010171 0.88625791];[1.71837464 1.24849705 2.34521561];1.11
Tor1aip2;[  1.2602105   49.92169808 204.56920192];[1.2602105  0.98485869 1.52148878];[4.09780135 3.36293095 5.01066987];5.04
Soat1;[  0.96844457 132.65626597 648.47441522];[0.96844457 0.83025953 1.16095022];[4.7417299  3.96843217 5.84507137];4.7
Abl2;[  0.73773342 103.63205715 173.98326467];[0.73773342 0.57466544 0.98551149];[1.67885565 1.2224484  2.24061177];1.23
Tor3a;[0.20297555 0.46599336 3.46207857];[0.20297555 0.09423121 0.34479309];[ 7.42945896  3.81685186 18.37728595];1.05
Fam20b;[ 1.20106994 12.79511703 25.35824225];[1.20106994 0.82002788 1.68932578];[1.98186872 1.28053622 3.55667142];2.18
Ralgps2;[0.02991549 1.55904669 3.14073502];[1.73472348e-17            nan            nan];[2.01452274        nan        nan];0.06
Rasal2;[ 0.34514937 35.01265759 46.79449047];[0.34514937 0.22715741 0.54273682];[1.3365021  0.80549172 2.20898699];0.46
2810025M15Rik;[  1.11925243 174.93420936 188.07247635];[1.11925243 0.84608807 1.52229731];[1.07510405 0.77471217 1.46574881];1.2
BC026585;[ 0.08841709  2.0964849  14.42383575];[0.08841709 0.06043561 0.13061114];[ 6.88000936  4.11074905 11.19375364];0.58
4930523C07Rik;[0.07595619 4.22152661 9.74161571];[0.07595619 0.03413479 0.1402502 ];[2.30760495 1.13015861 5.63659412];0.17
Mrps14;[ 0.02026603  0.0296716  18.74588894];[0.0010133       nan       nan];[631.77888266          nan          nan];7.61
Cacybp;[ 0.73981858  2.99620357 20.7215087 ];[0.73981858 0.58103016 0.95043064];[6.91592149 4.75529616 9.81956596];4.1
Rabgap1l;[0.00404929 0.07074429 2.80317681];[2.60208521e-18            nan            nan];[39.62406936         nan         nan];0.15
Gas5;[ 1.26408012  2.38515877 36.47245871];[1.26408012 1.0455787  1.54550548];[15.29141759 11.25803595 20.35521611];12.63
Cenpl;[ 0.07248986 24.04002468 26.48244616];[0.07248986 0.02957117 0.19851033];[1.10159813 0.34946945 3.45779441];0.08
Klhl20;[1.05485500e-01 6.29397985e+01 1.71462454e+02];[0.1054855  0.06786353 0.16101183];[2.72422946 1.56151745 4.98404859];0.29
Prdx6;[  0.95477937  20.83165405 364.6807659 ];[0.85930143        nan        nan];[17.50608786 14.75656332 20.92319304];15.98
Pigc;[0.23149288 1.26644316 6.46510109];[0.23149288 0.15811759 0.33762646];[5.10492797 3.13625731 8.19324173];1.0
Prrc2c;[ 0.40346856  1.0080236  14.36305541];[0.40346856 0.32150818 0.50808465];[14.24872931 10.43456556 19.24343761];4.11
Prrx1;[  0.94191633 128.95270955 500.22360007];[0.94191633 0.79315286 1.16124076];[3.87912438 3.13507945 4.73124484];3.63
Gorab;[0.34358267 3.64252297 5.30300815];[0.34358267 0.13217932 0.6209708 ];[1.45586128 0.71686414 4.71965229];0.46
Kifap3;[1.07074082e+00 3.34763360e+02 1.33949931e+03];[1.12427786 0.92012842 1.33520717];[3.88129195 3.11674918 4.76127506];4.27
BC055324;[ 0.16931376 23.86181726 44.86864712];[0.16931376 0.11358601 0.25624722];[1.88035331 1.15333919 3.13427696];0.32
Selp;[0.00946572 0.72946403 3.83017146];[0.00047329        nan        nan];[5.25066527        nan        nan];0.05
Slc19a2;[  1.21676005 115.71572082 129.00151527];[1.27759805 0.95642452 1.68850221];[1.08136966 0.79445154 1.47228945];1.34
Blzf1;[ 0.37608594  5.32376178 20.09269876];[0.37608594 0.27328468 0.51031545];[3.77415436 2.48458575 5.78895833];1.33
Nme7;[0.55613661 1.49817182 1.84710508];[0.02780683        nan        nan];[1.23290604        nan        nan];0.5
Atp1b1;[0.07289356 1.10081039 9.3687729 ];[0.07289356 0.04589302 0.10980627];[ 8.51079624  5.10559523 14.65543697];0.58
Sft2d2;[0.03628667 1.14263725 4.44667834];[0.03628667 0.00871321 0.08299481];[3.8915923       nan       nan];0.14
Tiprl;[  1.28488404 141.21503077 246.13082251];[1.28488404 1.01412614 1.63524315];[1.7429506  1.34269962 2.26270044];2.22
Dcaf6;[ 0.38962153 68.34939072 70.54599872];[0.38962153 0.2677373  0.60937826];[1.03213793 0.64768701 1.60575266];0.4
Mpzl1;[  0.57531464  68.83148141 227.22106584];[0.57531464 0.46899897 0.70813137];[3.30112125 2.58402811 4.2534818 ];1.88
Pou2f1;[0.05496074 2.91497015 4.73106434];[6.9388939e-18           nan           nan];[1.62302326        nan        nan];0.09
Tada1;[  0.88145852  81.02052783 101.26224619];[0.92553145 0.6666592  1.21265624];[1.24983444 0.89984522 1.71549702];1.09
Uck2;[ 0.44952167 16.82949156 80.25856854];[0.44952167 0.34580922 0.56021117];[4.76892414 3.73673279 6.89511514];2.09
Mgst3;[ 0.51542426  1.77659722 10.80308936];[0.51542426 0.37647208 0.70219234];[3.70927324 3.25368153 4.08765844];2.43
Pbx1;[ 0.50781376  6.03411054 11.94695606];[0.50781376 0.32527945 0.77684517];[1.97990341 1.15183126 3.60170134];0.93
Nuf2;[ 0.08610993  1.11307081 10.2786062 ];[0.08610993 0.05978563 0.12223986];[ 9.2344585   5.89330531 14.46539375];0.74
Rgs5;[ 0.08283302 45.9933657  78.06917555];[0.08283302 0.05110455 0.14672311];[1.64647877 0.84785097 3.43557227];0.14
Rgs4;[4.46623128e-01 1.15628446e+01 6.27385372e+02];[0.49128544 5.31099811 0.53000423];[54.25873935 45.44774525 65.91325304];23.33
Hsd17b7;[  0.62128866  42.32291326 119.08036115];[ 0.62128866  0.42051062 -0.4863513 ];[2.81361447 2.15822582 3.68413822];1.72
3110045C21Rik;[5.06120466e-02 2.24005211e+01 5.82590971e+01];[0.05061205 0.02676435 0.08970744];[2.60079205 1.27706798 5.84171364];0.13
Ddr2;[  1.63775597 122.24422407 524.51686981];[1.55586818 1.32542941 1.86966014];[4.54817302 3.74189837 5.46418967];6.93
Uap1;[  1.07880392 164.95391598 305.8049215 ];[1.07880392 0.86304211 1.36772137];[1.85388094 1.44272559 2.39564453];1.99
Uhmk1;[ 0.18944027  6.84680233 11.12022437];[0.17996826 0.05563127 0.31833345];[1.62414859        nan        nan];0.3
Olfml2b;[ 0.73517101  4.88406012 15.24035331];[0.73517101 0.51953335 1.05211103];[3.12042705 1.87632874 5.18264634];1.99
Atf6;[ 0.54424315  4.81839962 16.79403465];[0.54424315 0.39897327 0.76351161];[3.48539681 2.18178408 5.37475322];1.7
Dusp12;[0.45593057 1.57156898 6.13463002];[0.45593057 0.29300348 0.69685332];[3.90350667 2.1491802  7.10410766];1.38
Sdhc;[ 1.1302276   2.00684988 25.36419463];[1.1302276  0.90241417 1.42130947];[12.63881016  8.93327386 17.63858881];9.14
Ndufs2;[ 0.46579161  0.72294458 34.55483083];[0.46579161 0.3733796  0.57788053];[47.79734401 36.20422682 63.17556471];13.54
Ppox;[0.10260934 0.51556271 1.81819912];[5.55111512e-17            nan            nan];[3.52663037        nan        nan];0.3
Usp21;[0.49698381 1.99392175 2.8195856 ];[0.02484919        nan        nan];[1.4140904       nan       nan];0.56
Ufc1;[  0.91392666  73.85859821 310.39448115];[0.91392666 0.76553054 1.1014193 ];[4.2025504  3.38949223 5.18195595];3.79
Nit1;[0.43330173 1.35694413 5.32542421];[0.43330173 0.25446213 0.71335622];[3.92457146 1.95435671 7.98324165];1.29
Pfdn2;[   1.22837763  384.09989552 1224.88043653];[1.28979651 1.04666799 1.52711209];[3.09329432 2.50002408 3.81108225];3.9
F11r;[ 0.09706114  1.47345618 13.92112823];[0.09706114 0.07017764 0.13450019];[ 9.44794179  6.13795479 14.34866659];0.86
Vangl2;[0.03938146 1.68994279 7.1057918 ];[0.03938146 0.01909183 0.07909496];[4.20475288 1.70866986 9.84375415];0.16
Ncstn;[ 0.72741229  1.74719581 11.86134588];[0.72741229 0.54995327 0.97307772];[ 6.78879024  4.40733126 10.1620118 ];3.49
Pex19;[ 0.57669078 23.55751695 69.8346733 ];[0.5190217  0.38744107 0.72207462];[2.96443269 2.2740444  3.89529231];1.67
Dcaf8;[0.54794723 1.28922564 6.38635643];[0.54794723 0.36198644 0.82023147];[4.95363748 2.76746662 8.86089579];1.9
Pea15a;[ 0.99255782  4.66787508 80.88313136];[0.99255782 0.83964585 1.18346537];[17.32761268 13.23821965 22.0634544 ];14.18
Igsf8;[  1.19498609  76.85803247 126.77557451];[1.2547354  0.95648379 1.55512805];[1.64947723 1.26660129 2.13574486];1.94
Tagln2;[  1.60078432  51.26659311 578.00724211];[1.60078432 1.33241167 1.87673526];[11.27453976  9.64583456 13.28711053];17.5
Dusp23;[0.12703681 2.25197159 4.70456944];[0.12703681 0.03340432 0.24576524];[2.08908916        nan        nan];0.25
AI607873;[9.26192996e-03 1.36483974e+00 1.08209372e+01];[0.01065122 0.00442775 0.02588338];[ 6.73910377  1.97265204 26.30490902];0.07
Grem2;[  0.89115844  84.71202652 857.51055391];[0.89115844 0.76453186 1.03811639];[10.12265423  8.48045574 12.20078511];8.93
Fh1;[ 0.96241992  7.08036206 27.11454165];[0.96241992 0.73320312 1.30634643];[3.82954169 2.48974841 5.72528252];3.24
Exo1;[0.03029132 0.28494335 4.21378727];[0.03029132 0.00525445 0.0625138 ];[14.7881578        nan        nan];0.4
Akt3;[8.58860462e-02 7.93190247e+01 2.05132016e+02];[0.10306326 0.06307254 0.17338808];[2.04306966 1.09524639 3.89950439];0.22
Adss;[  1.3602948 408.8464988 647.864136 ];[1.3602948  1.08091749 1.7416377 ];[1.58461461 1.21424923 2.0414633 ];2.15
Kif26b;[0.01459055 0.43508897 1.32152932];[0.00072953        nan        nan];[3.03737717        nan        nan];0.04
Smyd3;[ 0.34632927 35.02441226 52.78795464];[0.34632927 0.24717715 0.49700031];[1.50717603 1.00209834 2.26516834];0.52
Cnst;[ 0.66439241 62.88121382 66.46654315];[0.69761203 0.47623184 0.97639208];[1.0570175  0.6923905  1.54631596];0.69
Sccpdh;[6.33676948e-01 4.04270088e+02 6.94139431e+02];[0.63367695 0.56118276 0.81534958];[1.76852959 1.28479516 2.40255328];1.09
Ahctf1;[0.31563201 0.97403307 5.179217  ];[0.31563201 0.18528269 0.51093791];[ 5.31729072  2.76502828 10.52286518];1.27
Cdc42bpa;[  0.87791215 125.07995483 353.38016709];[0.87791215 0.73013954 1.09227113];[2.74047718 2.20043241 3.51722179];2.46
Adck3;[3.44134681e-02 4.12651381e+01 4.93625445e+01];[0.03613414 0.01743638 0.11246432];[1.12445503 0.31627054 4.32574344];0.04
Psen2;[0.10170869 0.27069288 1.10042628];[0.00508543        nan        nan];[4.06522062        nan        nan];0.3
Parp1;[ 0.81679455  9.26827347 23.96721521];[0.81679455 0.58354742 1.13050187];[2.58594174 1.69259627 4.22151731];1.94
Lin9;[0.05437004 1.83665496 3.22683081];[1.38777878e-17            nan            nan];[1.75690638        nan        nan];0.09
Acbd3;[ 0.53918867 22.69612295 84.47542453];[0.43135094 0.25978364 0.61039665];[ 5.39692906  3.6683786  10.79193097];1.96
Pycr2;[ 0.54967323  6.08013323 11.46328579];[0.54967323 0.33937385 0.83855284];[1.88536753 1.14175675 3.64956056];0.95
Tmem63a;[  0.571205   156.63480538 187.0905056 ];[0.571205   0.41846154 0.81824889];[1.19443763 0.81295365 1.72082819];0.68
Cnih4;[ 0.46043284  1.72231968 76.38152119];[0.46043284 0.36504769 0.57750713];[44.34805102 33.30265754 59.34873052];16.11
Wdr26;[ 0.61608723  5.50590158 51.36937493];[0.61608723 0.50856257 0.75527917];[ 9.32987526  7.23263122 12.19189402];5.17
Enah;[ 0.82988889  2.13086009 17.46188127];[0.82988889 0.6478906  1.07047678];[ 8.19475728  5.61097555 11.74573077];4.89
Srp9;[ 1.19463585  4.16385182 22.15212641];[1.19463585 0.92509293 1.60638884];[5.32010441 3.25333889 7.85549065];4.94
Fbxo28;[ 0.53977223 26.71304417 66.30203768];[0.53977223 0.37685646 0.70910778];[2.48200981 1.86247735 3.33531096];1.31
Trp53bp2;[0.26004005 4.2803832  9.73616528];[0.26004005 0.15822586 0.40979797];[2.27460132 1.30700904 4.2093951 ];0.56
Capn2;[ 0.86706837  3.2889099  48.44808104];[0.86706837 0.72466514 1.04580043];[14.73074135 11.18408254 19.06091163];10.11
C130074G19Rik;[3.13401451e-02 1.23393716e+01 9.72001497e+01];[0.03134015 0.01967914 0.05088277];[ 7.87723659  4.10685777 17.41097043];0.25
