Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Rtf1;[ 0.77885099  9.5731799  20.35467327];[0.81779354 0.55855087 1.11745934];[1.93485894 1.32870924 3.40344568];1.53
Rpap1;[  0.35744266  60.60277667 100.66721681];[0.37531479 0.26205799 0.47042414];[1.66109908 1.1271454  2.41460794];0.59
Ehd4;[ 0.70108967 20.05664641 48.25284204];[0.73614415 0.57860678 0.92261726];[2.33365318 1.76973967 3.00755631];1.63
Vps39;[  0.67919751 147.65682855 450.96141447];[0.84899689 0.67986987 1.042303  ];[2.32112987 1.7968555  2.93447228];2.06
Tmem87a;[ 0.89023733 28.94693212 31.18722631];[0.93474919 0.54499653 1.33837316];[0.98042776 0.68889948 2.1771446 ];0.93
Zfp106;[ 0.7420711  24.31258414 91.08398921];[0.63076043 0.49274615 0.86331624];[3.74637219 2.89076919 4.79344353];2.7
Snap23;[0.69577797 2.71324911 7.0857246 ];[0.69577797 0.43855494 1.15708574];[2.61152747 1.27562486 5.04299958];1.45
Lrrc57;[0.2808435  1.46172037 4.4192902 ];[0.2808435  0.13702615 0.48868867];[3.02334857 1.4632772  7.30471819];0.71
Ubr1;[5.29956248e-01 5.13625866e+02 1.13041380e+03];[0.52995625 0.06768179 0.60154999];[2.2008506  1.63171176 3.00782597];1.17
Lcmt2;[0.20031275 0.65192089 2.1176183 ];[0.01001564        nan        nan];[3.24827496        nan        nan];0.5
Tubgcp4;[0.1532436  0.74122738 5.4420581 ];[0.1532436  0.09228632 0.24238532];[ 7.34195503  4.15026439 13.37778393];0.93
Catsper2;[ 0.1347364  27.5491455  28.01817124];[0.1347364  0.07465158 0.26067325];[1.01702506 0.48651313 2.10628438];0.14
Pdia3;[ 0.8736536   1.84172833 78.98635178];[0.8736536  0.74785216 1.02014321];[42.88708082 34.69215323 53.0564871 ];25.41
Serf2;[ 0.44632271  6.12349526 57.17438762];[0.42400657 0.33323805 0.54630448];[10.45731424  7.23880201 14.18365667];3.88
Mfap1b;[0.38104197 3.849371   5.09498261];[0.38104197 0.15681372 0.70252031];[1.32358835 0.62906642 4.0153969 ];0.46
Ctdspl2;[0.07524237 1.33305179 6.35737679];[0.07524237 0.03873757 0.13503813];[ 4.76903962  2.31982597 10.0899293 ];0.34
B2m;[   2.06214464  330.91960241 1338.90610253];[2.06214464 1.75471772 2.43483643];[4.04601629 3.39842383 4.83489605];8.29
Slc30a4;[ 0.21360683 10.64342932 18.35229075];[0.21360683 0.11604916 0.33731214];[1.72428361 1.00097256 3.60049652];0.36
Sqrdl;[0.73871792 3.88802548 8.3987747 ];[0.73871792 0.46351478 1.19881007];[2.16016452 1.14252741 4.22567768];1.34
Myef2;[  0.61516704 152.05728524 225.38667359];[0.61516704 0.44748523 0.89365696];[1.43778099 0.98333005 2.1508163 ];0.91
Dut;[  0.44729169  23.31915798 170.41009372];[0.46965628 0.37709586 0.54592769];[7.30772929 5.82493915 9.29856891];3.21
Fbn1;[  1.14195011  12.05889926 317.38963906];[1.0848526  0.92310396 1.28183022];[27.10954965 22.55528375 37.13722366];27.46
Cep152;[0.05182765 1.99816266 5.16024094];[0.05182765 0.01307512 0.12113261];[2.58249293        nan        nan];0.13
Eid1;[  0.99583317 145.15852612 378.09276036];[0.99583317 0.82632391 1.25914143];[2.60468861 2.03815355 3.24331826];2.58
Secisbp2l;[  0.6427416   65.92483967 132.10504848];[0.6427416  0.49286669 0.84735691];[2.00387364 1.47042456 2.73619083];1.28
Cops2;[ 0.86278586  2.11905448 11.3094631 ];[0.86278586 0.62904335 1.20697508];[5.33703273 3.17887809 8.58351712];3.27
Galk2;[  0.82782331 124.0781551  223.01729697];[0.86921447 0.65483413 1.07686625];[1.79739372 1.35772225 2.37231923];1.48
Fgf7;[4.57743617e-01 2.35883156e+02 2.34555702e+03];[0.45774362        nan        nan];[ 9.94372411  7.90923542 12.33556843];4.54
Atp8b4;[0.03418923 3.66086262 7.83907357];[0.03760815 0.02048473 0.05491673];[1.88436045 0.72306702 5.32574309];0.07
Gabpb1;[  0.3716163  217.94614316 326.16986625];[0.3716163  0.26276019 0.53513167];[1.49656177 0.98327419 2.24772044];0.56
Usp8;[  0.68454818  68.3680385  120.812679  ];[0.68454818 0.52478032 0.92895514];[1.76709295 1.28882567 2.4158784 ];1.2
Trpm7;[ 0.38292425  5.30527762 17.96765794];[0.38292425 0.21712339 0.55323852];[3.38675169 2.17843568 7.33099811];1.21
Blvra;[ 0.87694309 46.40633243 78.66673401];[0.87694309 0.56691568 1.17472792];[1.6951724  1.23404021 2.26059941];1.46
Ncaph;[ 0.1692033   2.64143398 12.02000102];[0.1692033  0.11811127 0.24827203];[4.55055894 2.85893201 7.13818123];0.72
1810024B03Rik;[0.16095649 6.09203529 6.59850028];[2.77555756e-17            nan            nan];[1.0831356       nan       nan];0.17
Snrnp200;[  0.83700959 168.76203108 359.5618636 ];[0.83700959 0.67104338 1.06135971];[2.13058507 1.6333952  2.75562784];1.77
Ciao1;[0.19079143 0.62058631 8.43037522];[0.19079143 0.12998509 0.27190771];[13.58453303  8.57317592 21.94998497];1.98
Stard7;[  0.46478916 123.19432666 250.03343379];[0.46478916 0.36049891 0.62318122];[1.96869805 1.44658786 2.75740871];0.94
Fahd2a;[0.05550919 1.95714975 5.1740611 ];[0.05550919 0.01704158 0.11855965];[2.64367154 1.0802251  9.21892969];0.14
Kcnip3;[0.04554153 0.63443685 3.31155539];[0.00227708        nan        nan];[5.21967692        nan        nan];0.22
Zfp661;[0.07309658 1.36316706 3.17178961];[0.00365483        nan        nan];[2.32677982        nan        nan];0.16
Nphp1;[ 0.30606423  8.38146465 13.43922101];[0.30606423 0.16600462 0.4841648 ];[1.60344541 0.95083459 3.43739618];0.47
Bub1;[0.02245203 0.17340861 3.49076471];[0.0011226       nan       nan];[20.13028454         nan         nan];0.4
Gm14005;[  1.35609545 257.31569223 887.57027931];[1.42390023 1.17174738 1.66390968];[3.34586345 2.76263892 4.08923234];4.65
Anapc1;[ 0.61369511  3.61147785 12.75990217];[0.61369511 0.42866788 0.8879476 ];[3.53315255 2.09349286 5.90611402];1.85
Tmem87b;[0.27294251 1.17902276 4.48149168];[0.27294251 0.13552813 0.47433305];[3.80102221 1.8405603  9.00283998];0.84
Fbln7;[0.0876564  1.62055083 2.85260895];[4.16333634e-17            nan            nan];[1.76027119        nan        nan];0.15
Zc3h8;[0.07586132 0.60116841 2.8307443 ];[1.38777878e-17            nan            nan];[4.70873759        nan        nan];0.32
Ttl;[ 0.29842163  1.83814591 10.25961495];[0.29842163 0.21803041 0.41351077];[5.58150194 3.5915248  8.40945813];1.43
Chchd5;[0.34685767 1.48969331 7.97828059];[0.34685767 0.2284707  0.52550581];[5.35565309 3.04316419 9.23686816];1.51
Slc20a1;[ 0.4200651   2.55364243 11.80466321];[0.4200651  0.31091848 0.58442241];[4.62267664 2.92318075 6.93834424];1.67
Ckap2l;[ 0.07678642  0.93979101 16.26039953];[0.07678642 0.056686   0.10216255];[17.30214417 11.94937653 25.34460466];1.23
Sirpa;[  0.35657006  74.96316501 128.70646271];[0.35657006 0.25862348 0.50085427];[1.71692941 1.16404343 2.54318838];0.61
Stk35;[0.03036763 2.76177857 5.17444029];[1.04083409e-17            nan            nan];[1.87358985        nan        nan];0.06
Snrpb;[2.06257364e+00 9.95942652e+02 7.22999657e+03];[2.06257364 1.7751578  2.38742337];[7.04166717        nan        nan];14.94
Nop56;[ 0.54257364  2.66429913 29.75987868];[0.54257364 0.44847697 0.6629948 ];[11.1698714   8.3975529  14.69110411];5.04
Idh3b;[ 0.95495565 14.1751825  45.23121172];[0.95495565 0.70881581 1.24139945];[3.19087333 2.3316433  4.99371062];2.85
Cpxm1;[0.02608866 0.93807904 7.37865015];[0.02608866 0.01278507 0.05048949];[ 7.86570195  3.44369257 17.92182117];0.2
Vps16;[ 0.69270887  8.77257937 16.84107532];[0.69270887 0.4315165  1.00862462];[1.91974043 1.20520306 3.80876885];1.23
Ptpra;[0.61365468 1.19481635 7.61913816];[0.61365468 0.43449461 0.87838553];[ 6.37682781  3.75012971 10.43943433];2.59
Mrps26;[0.31124779 0.52604412 8.13306733];[0.31124779 0.21559548 0.43811458];[15.46080825  9.74250551 25.05685151];3.02
Ddrgk1;[ 0.41196288  2.46322729 17.12847017];[0.41196288 0.31569634 0.53890441];[ 6.95367018  4.76138622 10.04580361];2.45
Atrn;[  0.56334011 256.41441374 382.95637953];[0.59150711 0.43103827 0.80479162];[1.4487005  1.00532293 2.05337971];0.84
1700037H04Rik;[ 0.7950728  31.0925585  83.37027984];[0.7950728  0.58742964 1.0505899 ];[2.68135798 2.02279122 3.46175192];2.08
Spef1;[7.32280582e-02 4.88178302e+01 2.23759371e+02];[0.07322806 0.05453204 0.09755982];[4.58355831 2.76158209 8.41468495];0.34
Cenpb;[  0.54761961 124.75701984 501.34282882];[0.54761961 0.44582072 0.67439019];[4.01855406 3.13653369 5.20711333];2.19
Cdc25b;[ 0.13486764 32.12519119 52.5354122 ];[0.13486764 0.0860183  0.22262796];[1.63533384 0.91473128 2.96457354];0.22
Mavs;[  0.61161256 158.71927994 203.16206481];[0.61161256 0.44530753 0.83786509];[1.318409   0.90779582 1.85425863];0.78
Pank2;[  1.25740356 237.82162385 293.63947411];[1.25740356 0.87659422 1.62795141];[1.27174583 0.94606237 1.66557269];1.54
Rnf24;[ 0.2538916   7.62578931 12.47417814];[0.2538916  0.12725258 0.40694831];[1.63578846 0.92604906 3.78341855];0.4
Smox;[  0.48999114 118.84683691 253.40308563];[0.48999114 0.3790004  0.64264804];[2.13218199 1.55697448 2.90452442];1.04
Adra1d;[ 0.67762484  5.46555697 18.19479847];[0.67762484 0.4994662  0.95034429];[3.32899256 2.08000868 5.14442671];2.01
