Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Chac2;[0.14694555 2.05319455 9.30529056];[0.14694555 0.08732786 0.23100179];[4.53210366 2.57609295 8.44431905];0.62
Snrnp25;[ 0.39339821  7.52500298 40.47201857];[0.39339821 0.30334524 0.51195263];[5.37833921 3.88060517 7.7261035 ];2.01
Rhbdf1;[  0.67644974 112.79737752 401.79248082];[0.67644974 0.55381331 0.82620821];[3.56207289 2.82609833 4.55856427];2.4
Nprl3;[ 0.43507208 20.77140107 28.28204146];[0.45682569 0.32304679 0.64221863];[1.36158564 0.87045036 2.12474112];0.58
Mpg;[  0.92870801 249.26854867 355.27987592];[0.92870801 0.72898917 1.25564433];[1.38253093 1.02833425 1.87143511];1.32
Sh3pxd2b;[  0.54253403  57.99135218 109.73612897];[0.56966073 0.42499145 0.72494767];[1.89228436 1.37424675 2.5513449 ];1.02
Ubtd2;[0.39339631 1.77167824 8.80823959];[0.39339631 0.25882707 0.57052935];[4.97169259 2.9813016  8.76689888];1.6
Stk10;[  0.4009149   35.79325112 192.94236581];[0.4009149  0.33137174 0.48768496];[5.39046775 4.21495906 6.9824587 ];2.14
Fbxw11;[ 0.45838984  2.49687639 10.5654942 ];[0.45838984 0.33268845 0.65531407];[4.23148468 2.56698473 6.50177992];1.64
Fgf18;[0.04462871 2.04055642 7.02713874];[0.04462871 0.01532517 0.08891806];[ 3.44373656  1.47172518 10.76212516];0.15
Npm1;[  0.94417033   2.83740194 133.05273207];[0.94417033 0.80738216 1.09442698];[46.89245127 37.98590515 58.27901891];33.22
Slit3;[ 0.39003891  9.29359115 37.31923784];[0.39003891 0.29555993 0.51431682];[4.01558851 2.84277573 5.8430435 ];1.5
Rars;[  0.98690737  43.39630595 216.16631478];[0.98690737 0.78350517 1.19693557];[4.98121465 4.09016982 6.10127717];4.81
Wwc1;[ 0.0984153  18.13978601 30.2025941 ];[0.0984153  0.05874026 0.1721695 ];[1.615042   0.86116052 3.27905897];0.16
Mat2b;[  1.00630365 150.97979906 373.06569562];[1.00630365 0.80704242 1.22146288];[2.54509324 2.02046837 3.23047437];2.47
Hmmr;[0.08460655 0.81721916 7.33194369];[0.08460655 0.05316253 0.12711177];[ 8.97182056  5.44171367 15.42456429];0.69
Nudcd2;[  1.35947111 203.19772439 590.58459557];[1.35947111 1.13499317 1.64443185];[2.9064528  2.35707198 3.58181561];3.92
Ccng1;[  2.15182291 115.31008503 800.39844069];[2.15182291        nan        nan];[6.94127006 5.6489631  8.15443557];14.66
Pttg1;[ 1.00336653 10.16027186 30.85050246];[1.00336653 0.743401   1.35159173];[3.03638553 2.04075191 4.7815683 ];2.77
Slu7;[0.54048058 1.21719803 4.15988443];[0.54048058 0.29642117 0.93177646];[3.4175905  1.56176955 7.79718032];1.28
C1qtnf2;[  0.32787618  34.16568565 124.25171801];[0.32787618 0.25750412 0.41460971];[3.63674007 2.73300486 4.98377121];1.18
Pwwp2a;[ 0.30804238 73.11189736 73.97166741];[0.33884661 0.20639539 0.53390252];[0.95105407 0.54032599 1.63150503];0.31
Ttc1;[7.12843883e-01 3.36459256e+02 1.62916684e+03];[0.71284388 0.60599654 0.82092318];[4.98735527 3.99547994 6.18898875];3.44
Adra1b;[ 0.18831764  5.19229102 11.01765059];[0.18831764 0.04927678 0.30649631];[2.12192471        nan        nan];0.39
Rnf145;[0.42061609 2.63762551 9.36078112];[0.42061609 0.27950743 0.62552227];[3.54894245 2.04998599 6.15639335];1.29
Ebf1;[  1.39679487 461.45159746 538.08492479];[1.32695513 1.04247466 1.75054727];[1.23603434 0.91845095 1.61593315];1.62
Clint1;[  1.23788453 167.75835617 296.91159481];[1.23788453 0.97728626 1.58541859];[1.76987663 1.35605882 2.30514535];2.17
Lsm11;[  0.31058721 165.40917297 301.76965439];[0.31058721 0.2332195  0.4231522 ];[1.82438283 1.26250952 2.73224397];0.57
Thg1l;[0.11916615 1.55244471 3.27143668];[0.00595831        nan        nan];[2.10728064        nan        nan];0.23
Adam19;[1.09554844e+00 4.38441878e+02 1.75256836e+03];[1.09554844 0.9228468  1.30936194];[3.99726497 3.26956283 4.90117564];4.37
Med7;[ 0.79557537 15.93326892 43.96943589];[0.79557537 0.57132608 1.04003727];[2.75959918 1.9805473  4.46169028];2.09
Havcr2;[0.13318409 7.76952792 9.58094837];[0.13318409 0.02769174 0.26147478];[1.23314421        nan        nan];0.16
Havcr1;[4.63882319e-03 4.46845429e-01 1.45315028e+01];[0.00463882 0.00167751 0.01104327];[ 32.52020013   9.64640783 110.40830515];0.15
Gnb2l1;[   2.59986943  248.91334109 1968.16516911];[2.59986943 2.23584092 3.02221969];[7.90702965 6.74686963 9.30124653];20.34
Trim41;[0.45542671 1.26788927 3.44323041];[0.45542671 0.19644613 0.88010184];[2.71571855 1.07631438 8.14045777];0.91
Irgm1;[  0.37114314  87.83867976 127.5822848 ];[0.37114314 0.27001483 0.52771169];[1.45246132 0.97557538 2.1359714 ];0.54
Zfp62;[0.20317805 0.44436976 3.97462546];[0.20317805 0.10331189 0.33221445];[ 8.9444102   4.8099115  20.05653292];1.25
Mgat1;[  0.90189381  27.31938144 147.27314612];[0.90189381 0.7196773  1.09570371];[5.39079358 4.19271669 6.61830623];4.71
Flt4;[1.44300068e-01 1.06853910e+02 1.66816116e+02];[0.17316008 0.11624285 0.2855463 ];[1.23331688 0.67460612 2.23678611];0.22
Cnot6;[0.0205794  0.37585487 2.01806102];[0.00102897        nan        nan];[5.36925604        nan        nan];0.1
Gfpt2;[0.28606235 2.07358393 7.47916191];[0.28606235 0.18579227 0.43403545];[3.60687688 2.0881747  6.23715121];0.91
Mapk9;[0.26218655 0.35296754 4.40472676];[0.26218655 0.14386471 0.42193018];[12.47912715  6.69945113 26.40469847];1.88
Rnf130;[0.13094189 0.22738883 3.47970997];[0.13094189 0.03457212 0.25144765];[15.30290663         nan         nan];1.27
Tbc1d9b;[ 0.89186786  9.81596521 30.24512388];[0.89186786 0.65912959 1.20808944];[3.08121751 2.03995575 4.83559598];2.52
Sqstm1;[9.86221990e-01 2.40048196e+02 1.78846444e+03];[0.98622199 0.8342537  1.12661503];[7.67395215 6.36858626 9.15047374];7.32
Mgat4b;[0.45898303 1.67925049 9.03101491];[0.45898303 0.30921987 0.66029094];[5.37800345 3.20568735 9.32060583];1.94
Maml1;[  0.31800038 129.01973455 233.65532437];[0.3339004  0.23870277 0.46714424];[1.70234426 1.1380306  2.64186325];0.57
Canx;[  2.11020121 112.23943231 519.48728978];[2.11020121 1.67205993 2.54623084];[4.62838487 3.81816078 5.46541742];9.59
