Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Snta1;[ 0.65588769 23.1645669  45.56235325];[0.68868208 0.56955349 0.8845722 ];[1.84888465 1.39514794 2.55557347];1.25
1700003F12Rik;[ 0.11997317 43.29581381 45.71994303];[0.11997317 0.06559761 0.2394979 ];[1.02431022 0.48190343 2.21745349];0.13
E2f1;[  0.51115776  68.32488751 162.40556286];[0.51115776 0.40389233 0.67666036];[2.30565174 1.73470898 3.18318294];1.21
Pxmp4;[ 0.30109071  3.06707737 10.63160843];[0.30109071 0.20948362 0.44319163];[3.4663646  2.14848108 5.52715683];0.95
Chmp4b;[ 0.88166666  6.2013895  38.29698011];[0.92574999 0.71189142 1.19033065];[5.80501536 4.11095956 8.3940784 ];4.77
Eif2s2;[ 0.20413156  0.76970242 14.95464167];[0.20413156 0.156275   0.26427023];[19.4291214  13.86881445 27.3222043 ];3.13
Itch;[ 0.29433022  8.07604682 21.33406492];[0.29433022 0.18970599 0.44288128];[2.64164701 1.60116029 4.63287391];0.75
Dynlrb1;[  2.80015563  29.58332831 280.18002288];[2.80015563 2.27197187 3.43222252];[ 9.47087562  7.3836544  11.10522892];24.23
Pigu;[0.32311127 1.52664207 3.74604467];[0.32311127 0.15025501 0.60760294];[2.45378059 1.05666705 6.33612243];0.65
Map1lc3a;[ 0.87216507 14.37465426 51.06620083];[0.95938158 0.7724528  1.13058673];[3.23279029 2.53094803 4.48440582];2.92
Trp53inp2;[ 0.39978279  3.90621255 10.62106602];[0.39978279 0.26846751 0.61275549];[2.71901897 1.58823744 4.58467523];0.99
Ncoa6;[0.10130439 0.61994509 8.61910206];[0.10130439 0.04144713 0.18435321];[13.90300892  6.57793206 39.10106421];1.21
Ggt7;[0.47783695 2.90359791 7.62935848];[0.47783695 0.29303032 0.75987512];[2.70637998 1.42392385 5.09381605];1.08
Acss2;[0.00742393 0.35531395 5.37022656];[8.67361738e-19            nan            nan];[15.11403234         nan         nan];0.11
Gss;[  0.58977439  34.75665443 175.76906912];[0.56028567 0.43847782 0.71670196];[5.0571343  3.99787317 6.47018122];2.93
Trpc4ap;[  1.41185465 115.88947315 272.28098621];[1.41185465 1.14518098 1.73397854];[2.34948852 1.88309358 2.96977085];3.28
Edem2;[ 0.6075116   7.28417319 30.8056711 ];[0.6075116  0.46200307 0.80687255];[4.22912392 2.86536018 6.21035032];2.37
Procr;[0.22213747 1.06853923 2.92147118];[0.01110687        nan        nan];[2.73407947        nan        nan];0.5
BC029722;[ 0.32914797  2.3790726  17.36232191];[0.32914797 0.24963065 0.43731938];[ 7.29793699  4.95455484 10.53601031];2.11
Eif6;[  1.24522489  36.64346283 379.3565134 ];[1.24522489 1.04768578 1.44866568];[10.35263821  8.79869844 12.26454558];12.47
Cep250;[0.35404912 1.43422018 6.00453167];[0.35404912 0.2236221  0.54835289];[4.18661774 2.30205888 7.62174452];1.19
Cpne1;[  1.13010057 175.59171908 266.07897291];[1.13010057 0.87636665 1.4419608 ];[1.51532757 1.16544787 2.01201908];1.7
Nfs1;[ 0.62048053  3.04552995 12.37746192];[0.62048053 0.45133041 0.88901101];[4.06414061 2.41230192 6.37229201];2.09
Rbm12;[ 0.64531621  8.26284978 10.55886674];[0.64531621 0.35741416 1.04171039];[1.27787229 0.71259888 2.87455539];0.76
Rbm39;[1.03856086e+00 1.81171646e+02 1.06910727e+03];[1.03856086 0.88199257 1.23663461];[5.90107388 4.83985796 7.15209329];6.09
Phf20;[ 0.36205811 10.78467247 41.25293178];[0.36205811 0.26575353 0.48458657];[3.82514461 2.65194045 5.78662725];1.34
Epb4.1l1;[ 0.44716022  5.80851458 14.85967982];[0.44716022 0.28820664 0.68910014];[2.55825816 1.50862104 4.59623185];1.06
Dlgap4;[ 0.34048832  1.48890266 13.73432964];[0.34048832 0.24261124 0.47786307];[ 9.22446445  5.81557715 14.42791525];2.56
4930405A21Rik;[0.00397505 0.12065999 1.53325422];[0.00019875        nan        nan];[5.46410871        nan        nan];0.05
Myl9;[  0.98367484  21.16984764 389.54395812];[0.98367484 0.83332828 1.20676099];[18.40088624 15.67771829 21.75027889];17.3
Ndrg3;[ 0.61825149 21.2461455  54.61319929];[0.64916406 0.47980596 0.81717334];[2.57049917 1.82964037 3.39821262];1.54
Dsn1;[  0.21290448 114.12816729 135.06452998];[0.2235497 0.1389421 0.3621588];[1.14794268 0.64668325 1.98083874];0.25
Samhd1;[  1.04263097 390.30358584 982.88839928];[1.04263097 0.86371819 1.29653555];[2.51826638 1.97242795 3.16759499];2.62
Rbl1;[1.55162826e-01 3.50364372e+02 5.70415095e+02];[0.15516283 0.11337032 0.19886371];[1.57922062 0.91207544 2.73428672];0.25
Rpn2;[ 1.44131281  3.25424853 38.19203038];[1.44131281 1.17018404 1.79642232];[11.73605212  8.2637933  16.08428785];11.72
Manbal;[ 0.67232065  2.75820639 13.19585203];[0.67232065 0.49991509 0.91717233];[4.78421488 3.02941945 7.3422473 ];2.59
Src;[0.17137628 0.4773277  7.08276075];[0.17137628 0.11842987 0.24133536];[14.83836103  9.66627578 23.23674092];1.87
Blcap;[ 0.74224994 14.599982   60.12061489];[0.74224994 0.57580845 0.94530915];[4.11785541 3.05563162 5.91191096];2.91
Ctnnbl1;[0.17579747 1.36185914 5.49488431];[0.17579747 0.10098235 0.2890369 ];[4.03484044 2.16642741 7.7842293 ];0.63
Tgm2;[2.23504976e-01 6.05509641e+01 2.88709748e+02];[0.23468023 0.18189985 0.27556733];[4.62500407 3.43476804 6.54823894];1.06
Lbp;[4.69413868e-02 2.23111496e+01 1.56681035e+02];[0.04694139 0.03205819 0.06780229];[ 7.02254424  4.01798613 13.56852595];0.33
9430008C03Rik;[  0.47039769  55.47146177 104.79552493];[0.47039769 0.35589356 0.63034907];[1.88917908 1.35608382 2.64455588];0.88
Ralgapb;[  0.55378973 129.61879319 140.96669419];[0.6091687  0.42241861 0.90686466];[0.98966892 0.64103774 1.48972921];0.6
Actr5;[ 0.16683675 30.36481221 41.15875569];[0.18352043 0.11212815 0.28607142];[1.23348261 0.70494883 2.23311566];0.22
Fam83d;[ 0.6502872  78.55773557 87.62655643];[0.68280156 0.48231947 0.93013616];[1.11544147 0.74619414 1.58386149];0.72
Top1;[ 0.42578532  1.84590097 15.95271398];[0.42578532 0.33510604 0.54405918];[ 8.64223717  6.1383315  11.96134364];2.99
Srsf6;[  1.54224437 381.45792226 785.75216617];[1.54224437 1.25538706 1.92375519];[2.0598659  1.62245915 2.58561748];3.16
Ift52;[  0.74227776 364.01571867 379.41710291];[0.70516388 0.54790807 0.97048018];[1.13611754 0.78513779 1.59357546];0.77
Jph2;[ 0.09810618  0.36054453 11.07041577];[0.09810618 0.07135827 0.13261235];[30.70471161 20.98152469 45.24410018];2.37
Gdap1l1;[2.53941316e-03 4.14184639e-01 3.72867163e+00];[4.33680869e-19            nan            nan];[9.00243825        nan        nan];0.02
Fitm2;[0.16695282 0.26567663 1.1055898 ];[2.77555756e-17            nan            nan];[4.16141153        nan        nan];0.43
Ttpal;[0.74505917 4.66256795 8.4823618 ];[0.70780621 0.40406805 1.22079049];[1.9284016  0.97427981 4.40413469];1.17
Serinc3;[  1.9502125  116.21182701 258.13838237];[2.04772313 1.59239594 2.42822327];[2.22127462 1.79346908 2.74432963];4.26
Pkig;[  1.12880067  94.17423357 254.96579055];[1.12880067 0.936247   1.38616792];[2.70738376 2.17099158 3.37584695];3.02
Ada;[3.48395008e-01 2.86514709e+02 9.04143908e+02];[0.34839501 0.29353972 0.05652204];[3.15566314 2.36013961 4.30311078];1.1
Wisp2;[  0.67054311   6.5131434  142.42931352];[0.67054311 0.56302894 0.77065137];[24.4921417  18.52262467 29.02867409];13.29
Ywhab;[   3.08782635  517.20055266 2016.52818524];[3.08782635 2.6157113  3.65979194];[3.89892891 3.26614813 4.65646058];11.97
Stk4;[  0.84635936 151.44398804 157.67519565];[0.84635936 0.62782017 1.20001762];[1.0411453  0.72180692 1.45549262];0.88
Slpi;[3.54164758e-02 1.40593810e+00 6.23442248e+01];[0.03541648 0.02472354 0.04890894];[44.3435061  28.3109762  78.34313627];1.53
Dbndd2;[  0.7370311  226.37323471 309.34761896];[0.7370311  0.56870308 1.00481026];[1.32554182 0.97038484 1.84331782];1
Pigt;[ 0.74492139  7.13904456 22.51312714];[0.70767532 0.53599815 1.01355786];[3.24812666 2.13537356 5.05929656];2.13
Ube2c;[1.44651672e-01 1.66193486e+01 1.98184708e+02];[0.14465167 0.11711519 0.1804638 ];[11.92493841  8.745137   16.84418619];1.71
Snx21;[  0.42002076 199.66590661 241.660996  ];[0.42002076 0.29779815 0.61038953];[1.21032679 0.790024   1.81844505];0.51
Acot8;[  0.46570415 214.75235955 434.8837014 ];[0.46570415 0.34979954 0.6187528 ];[2.02504737 1.47305802 2.81314327];0.94
Neurl2;[ 0.2307782  15.99833278 17.02699761];[0.24231711 0.14842108 0.38555425];[1.06429825 0.5597347  2.67421016];0.24
Ctsa;[ 1.51670267  8.66263309 75.39271812];[1.51670267 1.22427021 1.93367085];[ 8.70321037  5.99638123 12.09140903];11.23
Pltp;[  0.25668208  54.7619054  251.36097323];[0.26951618 0.20743473 0.31134648];[4.59006989 3.31204135 6.40393707];1.17
Pcif1;[0.06206714 0.24985044 5.94705271];[0.06206714 0.02901603 0.11298433];[23.80245066 11.73842673 54.90046059];1.18
Zfp335;[0.32186708 3.03770339 3.05910941];[1.11022302e-16            nan            nan];[0.3423959       nan       nan];0.29
Mmp9;[7.63135270e-03 1.17152832e+00 1.37072915e+01];[0.00763135 0.00283339 0.01889722];[11.70035007  3.60668404 41.38486522];0.09
Ncoa5;[  0.43365462 103.92257107 263.62601459];[0.43365462 0.33322487 0.56025549];[2.53675416 1.8787442  3.45786633];1.1
Cd40;[0.07370514 3.21962611 3.80762857];[0.00368526        nan        nan];[1.18263066        nan        nan];0.09
Slc35c2;[ 0.37354569 16.65786086 45.14143612];[0.3548684  0.25004261 0.50624613];[2.70991795 1.97707166 4.66181908];0.99
Elmo2;[  1.04954024 276.3403882  506.97808905];[1.04954024 0.84095051 1.33826521];[1.83461452 1.41420038 2.36115262];1.92
Zfp334;[0.42577132 3.32559963 7.5096358 ];[0.42577132 0.23815618 0.68627396];[2.32587375 1.22397706 4.86300989];0.85
2810408M09Rik;[0.40519123 2.35875729 9.18311549];[0.40519123 0.25893916 0.59704728];[3.89320068 2.28499077 7.14652903];1.35
Slc2a10;[ 0.21351356  5.00726439 20.39712147];[0.21351356 0.14845668 0.29670872];[4.07350599 2.70724477 6.50105146];0.83
Zmynd8;[ 0.56185363 18.96164256 61.79722122];[0.56185363 0.41166791 0.7336704 ];[3.25906477 2.3760273  5.0641514 ];1.78
Sulf2;[5.02156901e-01 3.18580982e+02 1.72940883e+03];[0.52726475 0.45887777 0.66852434];[4.93991206 3.88358552 6.34381989];2.72
Prex1;[0.01355677 0.43073343 1.31744711];[3.46944695e-18            nan            nan];[3.05861353        nan        nan];0.04
Trp53rk;[0.36878158 2.85745021 3.2191049 ];[0.01843908        nan        nan];[1.12656552        nan        nan];0.37
Arfgef2;[ 0.47098677  4.99603867 20.71952448];[0.47098677 0.34390428 0.6371462 ];[4.14719058 2.78448068 6.41765265];1.78
Cse1l;[  1.01564392 139.9218497  193.19595075];[1.01564392 0.80627003 1.40277968];[1.33931957 1.00169785 1.78266783];1.39
Stau1;[ 0.53864354  4.25442927 15.17956825];[0.53864354 0.39658234 0.75717071];[3.56794467 2.27196712 5.44789134];1.71
Ddx27;[0.47996558 1.81297851 7.9922936 ];[0.47996558 0.3309783  0.6958693 ];[4.40837746 2.60249841 7.34314566];1.67
Znfx1;[0.17939962 1.32266446 8.46895263];[0.17939962 0.12224307 0.2570754 ];[ 6.40294864  4.03943495 10.29694792];1.01
1500012F01Rik;[ 0.54382129 18.42020026 78.40142281];[0.54382129 0.41360817 0.6927667 ];[4.25627418 3.32191582 5.52125876];2.25
B4galt5;[  1.17156554  54.45938755 140.15240794];[1.17156554 0.98556509 1.45537124];[2.57352156 2.06729565 3.20796418];2.95
Spata2;[ 0.20590088 53.64316315 69.35255696];[0.20590088 0.13142399 0.33671113];[1.29284988 0.74024617 2.28688033];0.27
Rnf114;[3.64737451e-01 1.17555479e+02 4.78704305e+02];[0.36473745 0.2883968  0.47803988];[3.94999177 2.91479319 5.60245741];1.48
Tmem189;[  0.66434802 117.87039797 186.5465135 ];[0.66434802 0.49820821 0.86489716];[1.63012013 1.17376782 2.20369529];1.05
Cebpb;[4.45391943e-02 1.27192435e+00 4.69599851e+01];[0.04231223 0.02632978 0.0670008 ];[39.13564845 21.03605172 75.73582126];1.59
Ptpn1;[0.01303327 0.09118477 4.56185707];[0.00065166        nan        nan];[50.02871891         nan         nan];0.57
Adnp;[0.06945577 0.1342756  7.05544993];[0.06945577 0.02409772 0.15591349];[ 52.54454325  19.69575168 167.77127195];2.41
Atp9a;[0.06505686 1.1634175  4.2584077 ];[0.06505686 0.02303917 0.13161558];[ 3.66025756  1.6101596  11.08345414];0.23
Zfp64;[0.20231754 0.38819794 2.93380475];[0.20231754 0.06466938 0.37122419];[ 7.55749701  3.53362346 28.14406577];1.01
Tshz2;[2.46308562e-01 1.40173777e+02 3.44939697e+02];[0.24630856 0.20143737 0.32040254];[2.46080047 1.65504023 3.68557856];0.61
Pfdn4;[ 1.33585352  3.06115008 20.60346214];[1.33585352 1.0203126  1.77973118];[ 6.73062791  4.2727717  10.18344678];6.26
Dok5;[0.09941487 4.82384667 8.53080795];[0.10935636 0.06303424 0.18977357];[1.60930389 0.82792465 3.69855827];0.17
Aurka;[ 0.09871079  1.68367862 21.28811634];[0.09871079 0.07370265 0.13085061];[12.64381225  8.78341424 18.51727592];1.18
Rae1;[0.61650474 1.72265472 6.14332712];[0.61650474 0.4083398  0.95373772];[3.5661976  1.88150586 6.35608564];1.62
Rbm38;[0.17074493 2.59477982 4.44402853];[0.17074493 0.05828079 0.34193611];[1.7126804  0.75986916 5.75001879];0.27
Pmepa1;[1.21192761e+00 3.73775199e+02 2.84680849e+03];[1.21192761        nan        nan];[7.38787445 6.25729348 8.87905291];9.2
Rab22a;[  1.20441325 234.8234958  278.17400681];[1.20441325 0.91798243 1.63711756];[1.18460892 0.86119214 1.59595822];1.42
Vapb;[   1.410705    686.58521232 1045.43820352];[1.410705   1.10057504 1.79609095];[1.52266344 1.18090427 2.009783  ];2.14
Stx16;[0.56684586 3.23631046 4.30334977];[0.56684586 0.24522501 1.13122072];[1.32970857 0.5514906  4.06554179];0.64
Npepl1;[  0.90588123 312.12008004 394.74640213];[0.95117529 0.72714893 1.28812713];[1.18884251 0.85442076 1.60590133];1.14
Gnas;[2.58678125e+00 3.63836335e+02 4.13700469e+03];[2.58678125        nan        nan];[11.37051002  9.71089362 13.11191396];29.21
Ctsz;[ 0.98271751  4.21682855 86.46852759];[0.98271751 0.83322251 1.16867197];[20.50558295 15.77539439 25.91203268];16.34
Atp5e;[  3.69796647  37.45333561 185.67691373];[3.69796647 2.79161211 4.73889336];[4.95755346 3.61875114 7.95332074];16.69
Slmo2;[  1.13243104 122.96639519 439.86985967];[1.13243104 0.94795706 1.36178548];[3.57715503 2.91309715 4.41332571];4.01
Ppp1r3d;[0.19808242 7.69341372 8.89445468];[0.19808242 0.05849389 0.36575772];[1.15611288        nan        nan];0.22
Psma7;[ 1.38321045  4.61795345 82.11507663];[1.38321045 1.16168046 1.66596006];[17.78170299 13.33000635 22.90894102];18.93
Lama5;[ 0.13550271  1.10444486 12.42229078];[0.13550271 0.10148779 0.17940314];[11.24754278  7.82549948 16.18787403];1.36
Rps21;[  2.6419943  198.94031714 459.36684828];[2.6419943  2.19692277 3.23726101];[2.30906864 1.88267719 2.83704496];6.02
Ogfr;[  0.79685582 230.60677187 640.12867646];[0.79685582 0.65090286 0.98682735];[2.77584509 2.1787506  3.53378459];2.2
Tcfl5;[5.49433397e-02 4.19538438e+01 1.48883552e+02];[0.05494334 0.03600917 0.08858472];[3.5487464  1.88417837 7.36466514];0.19
Dido1;[ 0.43795784  7.7669787  18.39408216];[0.43795784 0.29659138 0.62487409];[2.36824161 1.51748309 3.98373748];0.98
Slc17a9;[ 0.06213241 34.68352623 43.62655719];[0.06213241 0.03149354 0.13860237];[1.22011125 0.48515183 3.1946558 ];0.08
Ythdf1;[ 0.23812363  2.25288592 11.98634676];[0.23812363 0.16630413 0.35022175];[5.32044107 3.18192684 8.44202293];1.15
Arfgap1;[ 0.63762733  2.93064907 12.87682074];[0.63762733 0.4712938  0.87837872];[4.39384602 2.74862007 6.74845338];2.3
Rtel1;[ 0.38634691 65.79183768 90.42632212];[0.38634691 0.2718691  0.56001567];[1.37443071 0.90950284 2.092627  ];0.53
Arfrp1;[ 0.25554732  8.20422091 38.28916747];[0.24276996 0.17264702 0.34369804];[5.6470801  3.17318938 7.93490825];1.16
Zgpat;[ 0.15020203  1.21752707 10.63881642];[0.15020203 0.10473721 0.2136675 ];[ 8.73805327  5.53227558 13.74192738];1.17
Tpd52l2;[  1.3377986  165.80901878 296.43668967];[1.3377986  1.06986702 1.69264112];[1.78782006 1.38855896 2.29331903];2.37
Dnajc5;[ 0.54671098  3.28187531 13.3532776 ];[0.54671098 0.40156421 0.7704026 ];[4.06879492 2.46242525 6.24346037];1.91
Uckl1;[ 0.54731673 10.59004536 23.04066886];[0.49258506 0.29419779 0.74126242];[2.63258639 1.54272954 5.19754414];1.13
Prpf6;[ 0.19360976  0.70391299 13.1847125 ];[0.19360976 0.13723718 0.26084046];[18.7305998  12.71375916 29.1708365 ];2.84
Rgs19;[  1.08771512 150.87521816 409.15115518];[1.08771512 0.90048214 1.33346525];[2.71185129 2.15904429 3.38720033];2.93
Polr3k;[   1.41501539  323.57275714 1379.06658504];[1.48576616 1.25766682 1.77019205];[4.00627853 3.31043694 4.85719801];6
Zfhx4;[ 0.20323794  5.78185713 18.17806354];[0.20323794 0.13060946 0.30412409];[3.14398352 1.90739624 5.53151995];0.62
Mrps28;[ 1.48421035 16.52591919 64.78911482];[1.48421035 1.13255125 1.91389254];[3.92045453 2.82113314 5.98684203];5.34
Tpd52;[  0.55885647 138.39460023 518.93784161];[0.55885647 0.45711426 0.68851741];[3.74969718 2.92546462 4.82103295];2.09
Zfp704;[0.09798353 0.61210519 7.10267228];[0.09798353 0.06287015 0.1468673 ];[11.60367917  7.04651353 19.52962522];0.98
Fabp5;[5.33047445e-01 8.10010444e+01 1.00950501e+03];[0.53304744        nan        nan];[12.46286411 10.22396598 15.05054547];6.6
Pmp2;[5.16925286e-02 5.52934932e+00 5.60674548e+01];[0.05427716 0.03824932 0.07310532];[10.13997337  6.24094548 17.65978944];0.52
Fabp4;[ 0.16634563  4.31440898 29.94631047];[0.16634563 0.12431085 0.22630265];[ 6.94099948  4.75096424 10.32796746];1.11
Impa1;[ 0.65763339  4.67712723 16.90744774];[0.65763339 0.48960153 0.92124684];[3.61492149 2.26131562 5.49431504];2.08
Snx16;[  0.29763488  75.09859754 149.38691288];[0.29763488 0.22245896 0.41947797];[1.92953411 1.32149121 2.8742275 ];0.59
Lrrcc1;[2.04002344e-01 8.66033633e+01 2.34499360e+02];[0.21420246 0.1549401  0.29642117];[2.54527527 1.69411077 4.05940456];0.55
Car13;[0.22371408 1.32039272 6.46998831];[0.22371408 0.15041659 0.32792864];[4.90004845 2.9955443  8.00408241];0.94
Ythdf3;[  0.44623275 134.00569735 433.54577512];[0.44623275 0.35099346 0.58748169];[3.13822032 2.28056668 4.33346027];1.44
Cyp7b1;[ 0.05081925 21.18639292 41.90718318];[0.05081925 0.02549477 0.09690005];[1.9780235  0.89348018 4.80681985];0.1
Armc1;[ 0.56009171  5.2848039  18.02352501];[0.56009171 0.40677297 0.77918161];[3.41044348 2.27876748 5.33266288];1.73
Mtfr1;[  1.40222525 554.57759251 626.48197653];[1.40222525 1.07662141 1.88678036];[1.12965613 0.82367296 1.50645535];1.58
Pde7a;[ 0.2477236  67.00296459 90.96671954];[0.2477236  0.16592314 0.37934594];[1.35765216 0.83609237 2.21843065];0.34
Gyg;[  1.11716789 239.13352181 407.35400964];[1.11716789 0.89780831 1.43997451];[1.65235466 1.28636267 2.1703063 ];1.89
Nceh1;[ 0.68663882  6.97661271 10.10627533];[0.68663882 0.37317145 1.11330561];[1.44859343 0.79545146 3.41397882];0.91
Fndc3b;[ 1.00308039  4.6606786  20.30454142];[1.00308039 0.7589683  1.3722924 ];[4.35656331 2.68020522 6.57998025];3.6
Eif5a2;[ 0.20989664 23.39530668 32.49874788];[0.20989664 0.08570839 0.35182651];[1.38911399 0.76348207 2.49525225];0.29
Sec62;[ 0.7817812   2.64586388 73.99857655];[0.7817812  0.65845597 0.9262025 ];[27.96764301 22.21729764 35.60898315];16.88
Phc3;[0.27771791 2.09920029 6.65975172];[0.27771791 0.17992147 0.44004027];[3.17251849 1.73543859 5.46183885];0.78
Prkci;[  1.09489412 227.94961679 269.2759532 ];[1.09489412 0.82565248 1.48821178];[1.18129592 0.85091664 1.61475154];1.29
Zmat3;[6.71929259e-01 2.12108500e+02 9.23327175e+02];[0.67192926 0.56936396 0.81050278];[4.35308899 3.48588843 5.50996547];2.92
Pik3ca;[  0.62447352 165.98713821 264.93911815];[0.62447352 0.47902548 0.83886963];[1.59614245 1.14610563 2.17694073];0.99
Zfp639;[ 0.35775328 31.66700132 72.36059559];[0.37564094 0.26540399 0.54004693];[2.28504729 1.58421385 3.33868216];0.81
Mfn1;[ 0.51206285  6.26414375 16.11943839];[0.51206285 0.34408191 0.75219282];[2.57328679 1.58523725 4.41775492];1.22
Gnb4;[0.25852458 0.79005233 5.4311069 ];[0.25852458 0.16021995 0.384917  ];[ 6.87436349  4.09338565 12.54847254];1.34
Actl6a;[ 0.90620585  7.79790162 13.63080789];[0.90620585 0.56667174 1.38485605];[1.74800973 1.00643467 3.49439066];1.42
Mrpl47;[ 0.58619753  1.89825172 12.49228279];[0.58619753 0.41998439 0.78401177];[ 6.5809411   4.36068282 10.72880384];2.95
Ndufb5;[ 0.13444309  0.15620045 15.41304841];[0.13444309 0.08699107 0.19855394];[ 98.67480249  61.09978772 165.4274225 ];7.13
Usp13;[ 0.12488548 32.09679389 39.90287951];[0.12488548 0.07109794 0.22987188];[1.24320453 0.62092609 2.52372752];0.15
Ttc14;[0.28093218 1.9601461  6.26683543];[0.28093218 0.16569491 0.47589797];[3.19712671 1.63530543 6.18238823];0.79
Fxr1;[ 0.40603317  2.21773811 24.87284519];[0.40603317 0.3125258  0.52493248];[11.21541133  8.0097601  15.77671294];3.85
Dnajc19;[ 0.98805559  3.1417031  24.93333744];[0.98805559 0.79054161 1.24905472];[ 7.9362488   5.52042002 11.03816655];5.97
Dcun1d1;[5.43240689e-01 2.43912887e+02 5.66654495e+02];[0.54324069 0.43273306 0.73312699];[2.25348839 1.63748164 3.13238306];1.26
Mccc1;[0.42638695 2.78620478 7.17757193];[0.42638695 0.27150322 0.69088666];[2.57611069 1.3657587  4.66628855];0.95
